id,notification_type,message,is_read,created_at,from_user_id,post_id,reply_id,user_id
333,like,Ragini liked your post,f,2026-04-04 08:11:27.649424+00,45,76,,39
334,reply,Ragini replied to your post,f,2026-04-04 08:16:48.529257+00,45,76,32,39
335,like,Ragini liked your post,f,2026-04-04 08:20:40.228684+00,45,37,,47
336,like,Ragini liked your reply,f,2026-04-04 08:20:45.088907+00,45,37,25,33
337,like,Ragini liked your post,f,2026-04-04 09:36:19.114747+00,45,113,,41
338,reply,Ragini replied to your post,f,2026-04-04 09:37:55.586278+00,45,113,33,41
339,like,Ragini liked your post,f,2026-04-04 09:39:30.590874+00,45,112,,41
340,reply,Ragini replied to your post,f,2026-04-04 09:39:58.895339+00,45,112,34,41
341,reply,Ragini replied to your post,f,2026-04-04 12:04:55.512231+00,45,79,35,39
342,like,Minka liked your post,f,2026-04-04 12:12:29.462367+00,33,105,,45
343,reply,Minka replied to your post,f,2026-04-04 12:14:33.467952+00,33,105,36,45
344,like,Minka liked your post,f,2026-04-04 12:15:14.696355+00,33,111,,41
345,reply,Minka replied to your post,f,2026-04-04 12:28:37.409564+00,33,111,37,41
346,like,Minka liked your post,f,2026-04-04 12:31:45.569409+00,33,109,,41
347,reply,Minka replied to your post,f,2026-04-04 12:34:14.372066+00,33,109,38,41
348,like,Minka liked your post,f,2026-04-04 12:34:54.258328+00,33,107,,41
349,reply,Minka replied to your post,f,2026-04-04 12:37:01.462773+00,33,107,39,41
350,like,Minka liked your post,f,2026-04-04 12:37:37.681441+00,33,110,,41
351,reply,Minka replied to your post,f,2026-04-04 12:38:59.988358+00,33,110,40,41
352,like,Aarti liked your post,f,2026-04-04 12:39:31.599938+00,48,108,,41
353,reply,Aarti replied to your post,f,2026-04-04 12:41:02.086161+00,48,108,41,41
354,like,Aarti liked your post,f,2026-04-04 12:41:33.247801+00,48,106,,45
355,reply,Aarti replied to your post,f,2026-04-04 12:42:15.842363+00,48,106,42,45
356,like,Aarti liked your post,f,2026-04-04 16:26:18.895923+00,48,36,,31
357,reply,Aarti replied to your post,f,2026-04-04 16:29:42.673496+00,48,36,43,31
358,like,Aarti liked your post,f,2026-04-04 16:30:04.273584+00,48,37,,47
